Sorting 134217728 values
Rows: Parallel sorting threshold fraction
Columns: Parallel partitioning threshold fraction
	1	2	4	8	16	MLim	HLim
1	10.6855	-	-	-	-	1.78091666666667	0.890458333333333
2	10.4120	10.3904	-	-	-	1.78091666666667	0.890458333333333
4	4.8332	4.3879	3.6790	-	-	1.78091666666667	0.890458333333333
8	3.6463	3.7242	3.7347	4.2145	-	1.78091666666667	0.890458333333333
16	2.8690	2.9295	2.8215	3.1630	2.8970	1.78091666666667	0.890458333333333
32	2.1635	2.0917	2.2082	2.1796	2.6947	1.78091666666667	0.890458333333333
64	1.9505	2.0249	2.0650	2.2428	2.7176	1.78091666666667	0.890458333333333
128	1.7861	1.9192	2.0389	2.2346	2.2663	1.78091666666667	0.890458333333333
256	1.7962	1.9100	2.0832	2.2786	2.4575	1.78091666666667	0.890458333333333
512	1.8343	1.9108	2.0870	2.2272	2.4726	1.78091666666667	0.890458333333333
1024	1.8351	1.8744	1.9911	2.4793	2.5470	1.78091666666667	0.890458333333333
2048	1.8813	2.0088	2.1099	2.2548	2.3518	1.78091666666667	0.890458333333333
4096	1.9460	2.0237	2.3040	2.2741	2.6351	1.78091666666667	0.890458333333333
8192	1.9678	2.0749	2.1891	2.4035	2.5338	1.78091666666667	0.890458333333333
16384	2.1100	2.2134	2.3041	2.5524	2.7719	1.78091666666667	0.890458333333333
