S 1900cc,1 miss s = 6, b= 12
L 1900e0,8 miss s = 7, b= 0
L 1900c4,4 hit s = 6, b= 4
L 1900c0,4 hit s = 6, b= 0
L 1100c0,4 miss eviction s = 6, b= 0
L 1100c4,4 hit s = 6, b= 4
L 1100c8,4 hit s = 6, b= 8
L 1100cc,4 hit s = 6, b= 12
L 1100d0,4 hit s = 6, b= 16
L 1100d4,4 hit s = 6, b= 20
L 1100d8,4 hit s = 6, b= 24
L 1100dc,4 hit s = 6, b= 28
S 1500c0,4 miss eviction s = 6, b= 0
S 1501cc,4 miss s = 14, b= 12
S 1502d8,4 miss s = 22, b= 24
S 1503e4,4 miss s = 31, b= 4
S 1504f0,4 miss eviction s = 7, b= 16
S 1505fc,4 miss s = 15, b= 28
S 150708,4 miss s = 24, b= 8
S 150814,4 miss s = 0, b= 20
L 1101b4,4 miss s = 13, b= 20
L 1101b8,4 hit s = 13, b= 24
L 1101bc,4 hit s = 13, b= 28
L 1101c0,4 miss eviction s = 14, b= 0
L 1101c4,4 hit s = 14, b= 4
L 1101c8,4 hit s = 14, b= 8
L 1101cc,4 hit s = 14, b= 12
L 1101d0,4 hit s = 14, b= 16
S 1500c4,4 hit s = 6, b= 4
S 1501d0,4 miss eviction s = 14, b= 16
S 1502dc,4 hit s = 22, b= 28
S 1503e8,4 hit s = 31, b= 8
S 1504f4,4 hit s = 7, b= 20
S 150600,4 miss s = 16, b= 0
S 15070c,4 hit s = 24, b= 12
S 150818,4 hit s = 0, b= 24
L 1102a8,4 miss s = 21, b= 8
L 1102ac,4 hit s = 21, b= 12
L 1102b0,4 hit s = 21, b= 16
L 1102b4,4 hit s = 21, b= 20
L 1102b8,4 hit s = 21, b= 24
L 1102bc,4 hit s = 21, b= 28
L 1102c0,4 miss eviction s = 22, b= 0
L 1102c4,4 hit s = 22, b= 4
S 1500c8,4 hit s = 6, b= 8
S 1501d4,4 hit s = 14, b= 20
S 1502e0,4 miss s = 23, b= 0
S 1503ec,4 hit s = 31, b= 12
S 1504f8,4 hit s = 7, b= 24
S 150604,4 hit s = 16, b= 4
S 150710,4 hit s = 24, b= 16
S 15081c,4 hit s = 0, b= 28
L 11039c,4 miss s = 28, b= 28
L 1103a0,4 miss s = 29, b= 0
