S 18f0cc,1 miss s = 6, b= 12
L 18f0e0,8 miss s = 7, b= 0
L 18f0c4,4 hit s = 6, b= 4
L 18f0c0,4 hit s = 6, b= 0

L 10f0c0,4 miss eviction s = 6, b= 0
L 10f0c4,4 hit s = 6, b= 4
L 10f0c8,4 hit s = 6, b= 8
L 10f0cc,4 hit s = 6, b= 12
L 10f0d0,4 hit s = 6, b= 16
L 10f0d4,4 hit s = 6, b= 20
L 10f0d8,4 hit s = 6, b= 24
L 10f0dc,4 hit s = 6, b= 28

S 14f0dc,4 miss eviction s = 6, b= 28
S 14f0d8,4 hit s = 6, b= 24
S 14f0d4,4 hit s = 6, b= 20
S 14f0d0,4 hit s = 6, b= 16
S 14f0cc,4 hit s = 6, b= 12
S 14f0c8,4 hit s = 6, b= 8
S 14f0c4,4 hit s = 6, b= 4
S 14f0c0,4 hit s = 6, b= 0

L 10f140,4 miss s = 10, b= 0
L 10f144,4 hit s = 10, b= 4
L 10f148,4 hit s = 10, b= 8
L 10f14c,4 hit s = 10, b= 12
L 10f150,4 hit s = 10, b= 16
L 10f154,4 hit s = 10, b= 20
L 10f158,4 hit s = 10, b= 24
L 10f15c,4 hit s = 10, b= 28

S 14f15c,4 miss eviction s = 10, b= 28
S 14f158,4 hit s = 10, b= 24
S 14f154,4 hit s = 10, b= 20
S 14f150,4 hit s = 10, b= 16
S 14f14c,4 hit s = 10, b= 12
S 14f148,4 hit s = 10, b= 8
S 14f144,4 hit s = 10, b= 4
L 14f0c4,4 hit s = 6, b= 4
S 14f140,4 hit s = 10, b= 0
S 14f0c4,4 hit s = 6, b= 4
L 10f1c0,4 miss s = 14, b= 0
L 10f1c4,4 hit s = 14, b= 4
L 10f1c8,4 hit s = 14, b= 8
L 10f1cc,4 hit s = 14, b= 12
L 10f1d0,4 hit s = 14, b= 16
L 10f1d4,4 hit s = 14, b= 20
L 10f1d8,4 hit s = 14, b= 24
L 10f1dc,4 hit s = 14, b= 28
S 14f1dc,4 miss eviction s = 14, b= 28
S 14f1d8,4 hit s = 14, b= 24
S 14f1d4,4 hit s = 14, b= 20
S 14f1d0,4 hit s = 14, b= 16
S 14f1cc,4 hit s = 14, b= 12
S 14f1c8,4 hit s = 14, b= 8
L 14f0c8,4 hit s = 6, b= 8
S 14f1c0,4 hit s = 14, b= 0
S 14f0c8,4 hit s = 6, b= 8
L 14f148,4 hit s = 10, b= 8
S 14f1c4,4 hit s = 14, b= 4
S 14f148,4 hit s = 10, b= 8

L 10f240,4 miss s = 18, b= 0
L 10f244,4 hit s = 18, b= 4
L 10f248,4 hit s = 18, b= 8
L 10f24c,4 hit s = 18, b= 12
L 10f250,4 hit s = 18, b= 16
L 10f254,4 hit s = 18, b= 20
L 10f258,4 hit s = 18, b= 24
L 10f25c,4 hit s = 18, b= 28

S 14f25c,4 miss eviction s = 18, b= 28
S 14f258,4 hit s = 18, b= 24
S 14f254,4 hit s = 18, b= 20
S 14f250,4 hit s = 18, b= 16
S 14f24c,4 hit s = 18, b= 12
L 14f0cc,4 hit s = 6, b= 12
S 14f240,4 hit s = 18, b= 0
S 14f0cc,4 hit s = 6, b= 12
L 14f14c,4 hit s = 10, b= 12
S 14f244,4 hit s = 18, b= 4
S 14f14c,4 hit s = 10, b= 12
L 14f1cc,4 hit s = 14, b= 12
S 14f248,4 hit s = 18, b= 8
S 14f1cc,4 hit s = 14, b= 12

L 10f2c0,4 miss s = 22, b= 0
L 10f2c4,4 hit s = 22, b= 4
L 10f2c8,4 hit s = 22, b= 8
L 10f2cc,4 hit s = 22, b= 12
L 10f2d0,4 hit s = 22, b= 16
L 10f2d4,4 hit s = 22, b= 20
L 10f2d8,4 hit s = 22, b= 24
L 10f2dc,4 hit s = 22, b= 28

S 14f2dc,4 miss eviction s = 22, b= 28
S 14f2d8,4 hit s = 22, b= 24
S 14f2d4,4 hit s = 22, b= 20
S 14f2d0,4 hit s = 22, b= 16
L 14f0d0,4 hit s = 6, b= 16
S 14f2c0,4 hit s = 22, b= 0
S 14f0d0,4 hit s = 6, b= 16
L 14f150,4 hit s = 10, b= 16
S 14f2c4,4 hit s = 22, b= 4
S 14f150,4 hit s = 10, b= 16
L 14f1d0,4 hit s = 14, b= 16
S 14f2c8,4 hit s = 22, b= 8
S 14f1d0,4 hit s = 14, b= 16
L 14f250,4 hit s = 18, b= 16
S 14f2cc,4 hit s = 22, b= 12
S 14f250,4 hit s = 18, b= 16

L 10f340,4 miss s = 26, b= 0
L 10f344,4 hit s = 26, b= 4
L 10f348,4 hit s = 26, b= 8
L 10f34c,4 hit s = 26, b= 12
L 10f350,4 hit s = 26, b= 16
L 10f354,4 hit s = 26, b= 20
L 10f358,4 hit s = 26, b= 24
L 10f35c,4 hit s = 26, b= 28

S 14f35c,4 miss eviction s = 26, b= 28
S 14f358,4 hit s = 26, b= 24
S 14f354,4 hit s = 26, b= 20
L 14f0d4,4 hit s = 6, b= 20
S 14f340,4 hit s = 26, b= 0
S 14f0d4,4 hit s = 6, b= 20
L 14f154,4 hit s = 10, b= 20
